กิจกรรม,วันที่,เวลา,หมายเหตุ
วันสุดท้ายของยื่นสอบหัวข้อโครงงานพิเศษ,ศุกร์ 6 ธ.ค. 2567,ก่อน 16:00 น.,กรอก Google Form
วันสอบหัวข้อโครงงานพิเศษ และสหกิจศึกษา ประจำปี 2567,พฤหัสบดี 12 ธ.ค. 2567,-,ณ ภาควิชา ชั้น 6
ประกาศรายชื่อหัวข้อโครงงานที่ได้รับอนุมัติ,จันทร์ 16 ธ.ค. 2567,-,-
วันสุดท้ายของการส่งเอกสารข้อเสนอ (บทที่ 1),ศุกร์ 27 ธ.ค. 2567,ก่อน 16:00 น.,อัปโหลดผ่าน Google Form
วันสุดท้ายของการยื่นเอกสารขอทดสอบโครงงาน 30 วัน (เฉพาะปริญญานิพนธ์),ศุกร์ 14 มี.ค. 2568,ก่อน 16:00 น.,ใช้แบบฟอร์ม คพ.04
วันสุดท้ายของการยื่นขอสอบโครงงานพิเศษ 1 และปริญญานิพนธ์,ศุกร์ 18 เม.ย. 2568,ก่อน 16:00 น.,ส่งเอกสาร คพ.02 และ Logbook
วันสอบโครงงานพิเศษ 1 และปริญญานิพนธ์,22-24 เม.ย. 2568,-,สถานที่สอบ ณ ภาควิชา ชั้น 6
วันสุดท้ายของการแก้ไขเอกสารปริญญานิพนธ์จากอาจารย์ที่ปรึกษา,พฤหัสบดี 1 พ.ค. 2568,-,-
วันสุดท้ายของการแก้ไขรูปเล่มปริญญานิพนธ์จากภาควิชา,อังคาร 13 พ.ค. 2568,-,-
